Proyecto,Indicador detectado por Python,Categoría,Estado de evidencia,Evidencia original a revisar,Campo de origen,Score semántico,Prioridad dentro del proyecto,Cómo apareció en la consulta,Indicador compartido,Otros proyectos con el indicador,ID del proyecto,Código del indicador,ID del fragmento,Score semántico del proyecto,Score de grafo,Nota de lectura
Open sensors and citizen science for urban air quality communication,"Número de productos (comunicados, artículos, blogs, libros, videos, material para redes sociales, entre otros) diseñados y utilizados para comunicar los resultados del proyecto a públicos diversos.",DIVULGACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Diseñar y utilizar productos de comunicación del conocimiento para públicos no especializados.,objetivos,0.673903,2,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-002,DIV-02,ART-DEMO-002::objetivos::12,0.428583,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Open sensors and citizen science for urban air quality communication,"Nivel en que los resultados, metodologías o saberes generados por el proyecto son difundidos en formatos comprensibles, abiertos y reutilizables, y en que dichos materiales son efectivamente consultados y aprovechados por públicos diversos.",DIVULGACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Diseñar y utilizar productos de comunicación del conocimiento para públicos no especializados.,objetivos,0.610031,3,RECUPERADO_SEMANTICAMENTE,NO,,ART-DEMO-002,DIV-04,ART-DEMO-002::objetivos::12,0.428583,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Open sensors and citizen science for urban air quality communication,"El proyecto facilita la participación activa de los grupos de interés en procesos de formulación, monitoreo o evaluación de políticas públicas o iniciativas de ciencia ciudadana.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,citizen science; open sensors; air quality; public communication,palabras_clave,0.606439,4,RECUPERADO_SEMANTICAMENTE,SÍ,ART-DEMO-002 | ART-DEMO-005,ART-DEMO-002,POL-01,ART-DEMO-002::palabras_clave::6,0.428583,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Participatory evaluation of a community telehealth program for rural caregivers,El proyecto fortalece estrategias participativas de cuidado implementadas por distintos actores sociales.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Documentar la participación de organizaciones comunitarias y equipos de salud durante la formulación, ejecución y evaluación del servicio.",objetivos,0.686523,1,AGREGADO_POR_GRAFO,SÍ,2-s2.0-85141889957 | ART-DEMO-001,ART-DEMO-001,SAL-06,ART-DEMO-001::objetivos::12,,4.453441,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Participatory evaluation of a community telehealth program for rural caregivers,"Nivel de participación efectiva de actores de la comunidad, Estado, sociedad o empresa en la formulación, ejecución y evaluación del proyecto.",CONDICIONES_COLABORACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Documentar la participación de organizaciones comunitarias y equipos de salud durante la formulación, ejecución y evaluación del servicio.",objetivos,0.650734,2,AGREGADO_POR_GRAFO,NO,,ART-DEMO-001,COL-03,ART-DEMO-001::objetivos::12,,4.453441,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Participatory evaluation of a community telehealth program for rural caregivers,"El proyecto incorpora enfoques interdisciplinarios o transdisciplinarios tanto en el planteamiento del problema como en los métodos, tipos de análisis y perspectivas conceptuales utilizadas.",CONDICIONES_COLABORACION,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"This article reports a participatory evaluation of a telehealth program with rural caregivers, community leaders and primary care teams. External academic and non-academic actors participated actively in defining the problem, implementing the service and evaluating the results. Workshops identified needs, tested the service and discussed changes in access to support.",resumen,0.587642,3,AGREGADO_POR_GRAFO,SÍ,2-s2.0-85141889957 | ART-DEMO-001,ART-DEMO-001,COL-01,ART-DEMO-001::resumen::5,,4.453441,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
Participatory evaluation of a community telehealth program for rural caregivers,"El proyecto contribuye a consolidar redes de colaboración y alianzas entre comunidades, organizaciones e instituciones.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Documentar la participación de organizaciones comunitarias y equipos de salud durante la formulación, ejecución y evaluación del servicio.",objetivos,0.579073,4,AGREGADO_POR_GRAFO,SÍ,2-s2.0-85088984023 | ART-DEMO-001,ART-DEMO-001,SOC-02,ART-DEMO-001::objetivos::12,,4.453441,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],El proyecto promueve capacidades productivas mediante la creación de redes colaborativas o estrategias de economía solidaria.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Cooperative principles | Social balance | Social networks analysis | Social transfers in kind | Sustainable development goals,palabras_clave,0.718291,1,RECUPERADO_SEMANTICAMENTE,NO,,2-s2.0-85088984023,ECO-07,2-s2.0-85088984023::palabras_clave::20,0.436221,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],"El proyecto contribuye a consolidar redes de colaboración y alianzas entre comunidades, organizaciones e instituciones.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Cooperative principles | Social balance | Social networks analysis | Social transfers in kind | Sustainable development goals,palabras_clave,0.666241,2,RECUPERADO_SEMANTICAMENTE,SÍ,2-s2.0-85088984023 | ART-DEMO-001,2-s2.0-85088984023,SOC-02,2-s2.0-85088984023::palabras_clave::20,0.436221,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],El proyecto fortalece o consolida eslabones clave de la cadena productiva y/o de suministros estratégicos.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,Cooperative principles | Social balance | Social networks analysis | Social transfers in kind | Sustainable development goals,palabras_clave,0.607092,3,RECUPERADO_SEMANTICAMENTE,NO,,2-s2.0-85088984023,ECO-04,2-s2.0-85088984023::palabras_clave::20,0.436221,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],El proyecto contribuye a mejorar prácticas productivas sostenibles en los sectores o territorios involucrados.,IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"Objectives This article lays down two strong elements in the search for a consensus between the indicators that best represent the practices of the Social and Solidarity Economy-based economy (SSE, hereinafter) and their contribution to the Sustainable Development Goals (SDGs, hereinafter), 1) sustainability according to Brundtland, and 2) the idea that something must be achieved ""beyond GDP"" as an integral indicator of progress, always on the economic, social and environmental level The tendency for accountability upon the intrinsic aspects regarding social profitability tends to make the metrics micro. In fact, the tools based on social balance which are drawn out raise this perspective and leave out the importance of the aggregates, even if they were groups of component units of cooperativism or belonging to the SSE (sectors, communities, territories of varying levels).",resumen,0.572048,4,RECUPERADO_SEMANTICAMENTE,NO,,2-s2.0-85088984023,ECO-05,2-s2.0-85088984023::resumen::7,0.436221,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],"El proyecto genera mejoras sostenibles en el entorno ambiental, económico y social de los grupos de interés.",IMPACTO_MAS_ALLA_ACADEMIA,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],nombre_producto,0.569767,5,RECUPERADO_SEMANTICAMENTE,SÍ,2-s2.0-85088984023 | ART-DEMO-005,2-s2.0-85088984023,AMB-02,2-s2.0-85088984023::nombre_producto::6,0.436221,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
The social balance and the relations between the sustainable development goals and the cooperative principles for colombia under a social network analysis [El Balance Social y las relaciones entre los Objetivos de Desarrollo Sostenible y los Principios Cooperativos mediante un Análisis de Redes Sociales],"La solución generada por el proyecto es usada, adaptada, replicada o sostenida por la comunidad, territorio o entidad beneficiaria.",APROPIACION_SOCIAL,EVIDENCIA DETECTADA — REVISIÓN HUMANA PENDIENTE,"The methodological design If the Social Balance reports the incidence of cooperative action and with it the social progress achieved, how much do the results coming from cooperatives contribute to the SDGs? This work aims at identifying which constructs relying on economic theories that govern monetary, non-monetary and convertible measurement should be taken into account. To pursue it, a measurement of Release of Resources, Social Surpluses and Merit Goods of Cooperativism. Each of these calculations is based on the fact that there is Non-Persistence in Personalist Profit Motive. Furthermore, the Release of Resources, Social Surpluses and Merit Goods stemming from cooperativism make up routines that result, technically speaking, in extended Social Transfers in Kind (STK, hereinafter), but they are on the ""expanded way"".",resumen,0.568881,6,RECUPERADO_SEMANTICAMENTE,NO,,2-s2.0-85088984023,ASC-02,2-s2.0-85088984023::resumen::9,0.436221,,El score no confirma cumplimiento; validar la evidencia antes de marcar CUMPLE.
